zone_name,disease,age_group,sex,prevalence,population,rate_per_1000
Northern,Hypertension,40 to 49,M,1486,10200,145.7
Northern,Hypertension,50 to 59,F,3733,12503,298.6
Northern,Hypertension,50 to 59,M,4024,12340,326.1
Northern,Hypertension,60 to 69,F,6572,13668,480.8
Northern,Hypertension,60 to 69,M,6830,13019,524.6
Northern,Hypertension,70 to 79,F,6704,9763,686.7
Northern,Hypertension,70 to 79,M,6404,9133,701.2
Northern,Hypertension,80 +,F,4990,5899,845.9
Northern,Hypertension,80 +,M,3469,4271,812.2
Northern,IHD,20 to 29,F,6,8746,0.7
Northern,IHD,20 to 29,M,4,9319,0.4
Northern,IHD,30 to 39,F,43,9997,4.3
Northern,IHD,30 to 39,M,63,10095,6.2
Northern,IHD,40 to 49,F,134,10619,12.6
Northern,IHD,40 to 49,M,224,10200,22.0
Northern,IHD,50 to 59,F,484,12503,38.7
Northern,IHD,50 to 59,M,858,12340,69.5
Northern,IHD,60 to 69,F,1225,13668,89.6
Northern,IHD,60 to 69,M,2121,13019,162.9
Northern,IHD,70 to 79,F,1700,9763,174.1
Northern,IHD,70 to 79,M,2619,9133,286.8
Northern,IHD,80 +,F,1732,5899,293.6
Northern,IHD,80 +,M,1759,4271,411.8
Western,Diabetes,20 to 29,F,136,11085,12.3
Western,Diabetes,20 to 29,M,154,11574,13.3
Western,Diabetes,30 to 39,F,316,13021,24.3
Western,Diabetes,30 to 39,M,296,12653,23.4
Western,Diabetes,40 to 49,F,827,13347,62.0
Western,Diabetes,40 to 49,M,833,12816,65.0
Western,Diabetes,50 to 59,F,1883,16888,111.5
Western,Diabetes,50 to 59,M,2322,16264,142.8
Western,Diabetes,60 to 69,F,3462,19986,173.2
Western,Diabetes,60 to 69,M,4202,18973,221.5
Western,Diabetes,70 to 79,F,3597,14508,247.9
Western,Diabetes,70 to 79,M,4352,13598,320.0
Western,Diabetes,80 +,F,2522,8857,284.7
Western,Diabetes,80 +,M,2249,6462,348.0
Western,Hypertension,20 to 29,F,100,11085,9.0
Western,Hypertension,20 to 29,M,102,11574,8.8
Western,Hypertension,30 to 39,F,546,13021,41.9
Western,Hypertension,30 to 39,M,596,12653,47.1
Western,Hypertension,40 to 49,F,1798,13347,134.7
Western,Hypertension,40 to 49,M,1796,12816,140.1
Western,Hypertension,50 to 59,F,4570,16888,270.6
Western,Hypertension,50 to 59,M,5014,16264,308.3
Western,Hypertension,60 to 69,F,8544,19986,427.5
Western,Hypertension,60 to 69,M,9088,18973,479.0
Western,Hypertension,70 to 79,F,9407,14508,648.4
Western,Hypertension,70 to 79,M,9071,13598,667.1
Western,Hypertension,80 +,F,7184,8857,811.1
Western,Hypertension,80 +,M,4987,6462,771.7
Western,IHD,20 to 29,F,6,11085,0.5
Western,IHD,20 to 29,M,7,11574,0.6
Western,IHD,30 to 39,F,42,13021,3.2
Western,IHD,30 to 39,M,51,12653,4.0
Western,IHD,40 to 49,F,145,13347,10.9
Western,IHD,40 to 49,M,260,12816,20.3
Western,IHD,50 to 59,F,475,16888,28.1
Western,IHD,50 to 59,M,1010,16264,62.1
Western,IHD,60 to 69,F,1305,19986,65.3
Western,IHD,60 to 69,M,2622,18973,138.2
Western,IHD,70 to 79,F,1952,14508,134.5
Western,IHD,70 to 79,M,3581,13598,263.3
Western,IHD,80 +,F,2303,8857,260.0
Western,IHD,80 +,M,2459,6462,380.5
